title,score,stdev,num_votes,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
Play Ball 2nd,6.482758620689655,1.4292677086939798,29,0,0,0,2,5,8,9,3,0,2
Pittanko! Nekozakana,5.75,3.191786333700926,4,1,0,0,0,0,2,0,0,0,1
Shaolin Wuzang,6.972972972972973,1.6519683016147162,37,0,1,0,1,4,7,10,9,2,3
Sumiko (TV),4.166666666666667,2.266911751455907,30,2,9,1,7,2,4,1,3,1,0
Sugar Bunnies Fleur,6.115384615384615,1.9479165018616307,26,1,0,1,2,5,6,7,1,1,2
Sugar Bunnies,6.704545454545454,1.8163342885971967,44,0,1,0,4,4,12,11,6,0,6
Sukima no Kuni no Polta,5.9655172413793105,1.7968572555518072,87,0,2,6,8,18,23,15,8,2,5
Sugar Bunnies Chocolate!,6.76,2.005592181875468,25,1,0,0,1,3,6,7,3,0,4
Scarecrowman,7.045454545454546,1.5514589241705465,22,0,0,0,1,3,4,6,3,4,1
Sue Cat,6.235294117647059,2.1565062093909835,17,0,1,1,2,2,2,5,2,0,2
Tensai? Dr. Hamax,4.428571428571429,2.498979383505129,7,2,0,0,1,2,0,1,1,0,0
Super Bikkuriman,6.45,1.896707673839066,40,1,0,2,2,7,6,11,6,3,2
Sekai Monoshiri Ryoko,5.95,2.344674817538671,40,3,1,2,5,2,8,11,3,2,3
Sekai no Fushigi Tanken Series,6.2,1.16619037896906,5,0,0,0,0,2,1,1,1,0,0
Sekai Meisaku Douwa Series,6.722222222222222,1.5918387535438228,18,0,0,0,2,1,5,6,2,0,2
Tsuideni Tonchinkan,7.157894736842105,1.9537590729758512,38,1,0,0,3,3,3,12,7,4,5
Treasure Gaust,4.153846153846154,2.475919529143243,13,0,4,4,1,0,2,0,1,0,1
Totsugeki! Pappara-tai,6.633333333333334,1.7603661235347858,30,0,0,2,1,4,7,8,3,3,2
Ton-Ton Atta to Niigata no Mukashibanashi,6.538461538461538,2.1345287577710166,13,1,0,0,1,0,3,5,1,1,1
Tomodachi de Iyou ne,7.5,1.118033988749895,4,0,0,0,0,0,1,1,1,1,0
Tonde Mon Pe,6.888888888888889,1.8823415940108237,36,1,0,1,1,4,5,11,7,3,3
